Customer ID,Recency,Frequency,Monetary,Cluster,Segment
12871,84,3,744.02,1,Lapsing
12872,326,12,3685.49,1,Lapsing
12873,282,3,2027.3,1,Lapsing
12875,143,5,1356.9900000000002,1,Lapsing
12877,3,20,2955.17,2,Champions
12878,236,2,854.99,0,Lost
12879,44,3,573.22,3,At-Risk
12880,381,2,640.13,0,Lost
12881,275,1,298.0,0,Lost
12882,9,2,1463.04,3,At-Risk
12883,24,4,703.47,3,At-Risk
12884,88,1,309.05,0,Lost
12885,63,3,1175.22,1,Lapsing
12886,67,2,1378.4,3,At-Risk
12887,383,1,222.4,0,Lost
12888,214,2,354.12,0,Lost
12889,381,4,385.46,0,Lost
12890,24,2,717.27,3,At-Risk
12891,185,11,840.5,1,Lapsing
12892,396,1,263.38,0,Lost
12893,30,1,188.14,3,At-Risk
12894,575,1,157.35,0,Lost
12895,42,2,372.8,3,At-Risk
12897,204,4,514.25,1,Lapsing
12898,463,2,310.96,0,Lost
12899,413,1,366.4,0,Lost
12900,422,1,340.33000000000004,0,Lost
12901,8,28,17654.54,2,Champions
12902,264,1,138.68,0,Lost
12903,428,1,833.5300000000001,0,Lost
12904,18,2,509.58,3,At-Risk
12905,576,2,1018.42,0,Lost
12906,11,5,2919.81,3,At-Risk
12907,395,2,508.91,0,Lost
12908,176,5,1776.0,1,Lapsing
12909,39,8,3103.19,1,Lapsing
12910,23,13,5796.52,2,Champions
12911,551,1,1680.47,0,Lost
12912,2,5,1662.3,3,At-Risk
12913,4,13,6700.86,2,Champions
12914,400,1,223.98,0,Lost
12915,148,4,1174.75,1,Lapsing
12916,138,7,4654.02,1,Lapsing
12917,128,6,4359.2,1,Lapsing
12918,626,1,10953.5,1,Lapsing
12919,8,6,1335.19,3,At-Risk
12920,17,4,488.09,3,At-Risk
12921,9,74,35921.04,2,Champions
12922,161,1,405.38,0,Lost
12923,64,3,789.87,3,At-Risk
12924,88,12,2469.4,1,Lapsing
12925,4,3,729.33,3,At-Risk
12926,411,4,1548.46,1,Lapsing
12927,394,1,197.31,0,Lost
12928,35,12,4304.89,2,Champions
12929,311,1,117.85,0,Lost
12930,78,2,415.8,3,At-Risk
12931,21,57,92347.34,2,Champions
12932,539,8,1698.56,1,Lapsing
12933,24,8,1687.03,2,Champions
12934,736,1,181.65,0,Lost
12935,2,15,4243.86,2,Champions
12936,17,4,1063.9,3,At-Risk
12937,15,9,3097.61,2,Champions
12938,25,1,114.14,3,At-Risk
12939,64,20,25264.8,2,Champions
12940,54,2,913.54,3,At-Risk
12941,724,1,377.49,0,Lost
12942,131,3,942.65,1,Lapsing
12943,558,2,496.5,0,Lost
12944,35,2,604.51,3,At-Risk
12945,288,2,900.11,0,Lost
12946,436,1,324.45,0,Lost
12947,143,6,1908.03,1,Lapsing
12948,16,9,2317.43,2,Champions
12949,30,22,15526.7,2,Champions
12950,2,3,1843.0,3,At-Risk
12951,8,15,3213.7200000000003,2,Champions
12952,5,4,1387.79,3,At-Risk
12953,9,2,828.8100000000001,3,At-Risk
12954,638,1,162.45,0,Lost
12955,1,11,4757.16,2,Champions
12956,306,4,521.89,1,Lapsing
12957,9,13,8706.97,2,Champions
12958,400,2,539.49,0,Lost
12959,484,1,150.95,0,Lost
12960,413,4,1322.0700000000002,1,Lapsing
12961,379,1,211.99,0,Lost
12962,7,2,266.39,3,At-Risk
12963,8,12,3601.59,2,Champions
12964,437,1,132.24,0,Lost
12965,89,1,771.91,0,Lost
12966,9,1,160.18,3,At-Risk
12967,358,3,4306.92,1,Lapsing
12968,112,1,135.95,0,Lost
12969,602,1,122.45,0,Lost
12970,7,10,1524.97,2,Champions
12971,3,116,15972.79,2,Champions
12972,413,4,1161.2,1,Lapsing
12973,413,1,385.55,0,Lost
12974,197,2,408.95,0,Lost
12975,436,6,2100.09,1,Lapsing
12976,211,8,3156.38,1,Lapsing
12977,156,4,517.63,1,Lapsing
12978,385,5,2502.82,1,Lapsing
12980,157,21,16245.78,2,Champions
12981,29,2,372.22,3,At-Risk
12982,242,8,2744.81,1,Lapsing
12983,598,1,490.08,0,Lost
12984,18,1,97.5,3,At-Risk
12985,0,2,1239.38,3,At-Risk
12986,428,10,2729.84,1,Lapsing
12987,73,5,1312.21,1,Lapsing
12988,292,1,535.32,0,Lost
12989,3,33,13551.75,2,Champions
12990,31,7,955.5,3,At-Risk
12991,23,3,764.82,3,At-Risk
12992,725,1,93.35,0,Lost
12993,23,8,1259.63,3,At-Risk
12994,4,3,974.42,3,At-Risk
12995,85,1,211.32,0,Lost
12996,375,1,355.5,0,Lost
12997,22,8,2110.91,2,Champions
12998,492,3,920.08,1,Lapsing
12999,196,3,455.88,0,Lost
13000,106,4,1032.5,1,Lapsing
13001,4,33,24172.1,2,Champions
13002,318,3,414.13,0,Lost
13003,105,3,149.05,0,Lost
13004,11,36,11650.85,2,Champions
13005,173,4,999.68,1,Lapsing
13006,56,1,81.57,0,Lost
13007,579,1,175.25,0,Lost
13008,323,3,612.13,0,Lost
13009,672,1,234.0,0,Lost
13010,374,2,330.12,0,Lost
13011,372,1,101.1,0,Lost
13012,9,11,2972.83,2,Champions
13013,1,29,12625.77,2,Champions
13014,10,11,5381.08,2,Champions
13015,53,11,6586.42,2,Champions
13016,73,3,789.89,3,At-Risk
13017,7,1,204.0,3,At-Risk
13018,16,35,9763.16,2,Champions
13019,379,6,1229.95,1,Lapsing
13020,562,2,618.96,0,Lost
13021,4,17,4887.24,2,Champions
13023,64,3,1449.03,1,Lapsing
13024,470,2,555.87,0,Lost
13025,731,1,323.39,0,Lost
13026,1,9,1733.08,2,Champions
13027,113,19,17335.2,2,Champions
13028,22,2,661.3199999999999,3,At-Risk
13029,30,5,1927.3,3,At-Risk
13030,11,2,1227.22,3,At-Risk
13031,407,5,3419.27,1,Lapsing
13032,52,9,2843.55,1,Lapsing
13033,357,2,220.55,0,Lost
13034,54,3,922.68,3,At-Risk
13035,73,3,1364.2,1,Lapsing
13036,684,1,307.1,0,Lost
13037,138,12,3914.95,1,Lapsing
13038,80,3,908.46,1,Lapsing
13039,584,4,1010.73,1,Lapsing
13040,8,2,676.99,3,At-Risk
13041,450,4,799.13,1,Lapsing
13042,598,3,1556.54,1,Lapsing
13043,273,1,516.42,0,Lost
13044,291,11,4853.9,1,Lapsing
13045,99,3,808.9200000000001,1,Lapsing
13046,30,3,949.25,3,At-Risk
13047,31,24,8795.16,2,Champions
13048,14,9,4084.21,2,Champions
13049,64,4,1408.24,1,Lapsing
13050,14,35,12344.53,2,Champions
13051,578,2,155.8,0,Lost
13052,212,7,3168.53,1,Lapsing
13053,621,1,127.65,0,Lost
13055,78,4,2321.11,1,Lapsing
13056,551,1,209.48,0,Lost
13057,530,3,722.09,0,Lost
13058,24,3,271.40000000000003,3,At-Risk
13059,249,10,2303.17,1,Lapsing
13060,253,1,307.53000000000003,0,Lost
13061,72,1,248.61,0,Lost
13062,191,1,346.98,0,Lost
13063,480,1,188.4,0,Lost
13064,12,6,1680.74,3,At-Risk
13065,373,5,1260.91,1,Lapsing
13066,24,2,470.8,3,At-Risk
13067,82,3,508.51,3,At-Risk
13068,10,2,344.0,3,At-Risk
13069,0,38,9683.13,2,Champions
13070,192,4,751.7,1,Lapsing
13071,612,1,129.22,0,Lost
13072,266,1,177.15,0,Lost
13073,411,2,418.08,0,Lost
13074,511,4,1378.74,1,Lapsing
13075,129,1,919.61,0,Lost
13076,457,1,135.4,0,Lost
13077,1,11,3064.67,2,Champions
13078,3,57,29532.45,2,Champions
13079,4,6,419.18,3,At-Risk
13080,179,4,280.73,0,Lost
13081,11,28,59205.15,2,Champions
13082,126,21,7335.75,2,Champions
13083,4,3,395.43,3,At-Risk
13084,491,1,122.4,0,Lost
13085,157,8,2433.28,1,Lapsing
13086,382,1,439.33,0,Lost
13087,726,1,313.64,0,Lost
13088,417,1,236.11,0,Lost
13089,2,203,116737.86,2,Champions
13090,8,24,14103.09,2,Champions
13091,28,3,2321.82,3,At-Risk
13092,70,12,2140.28,1,Lapsing
13093,275,55,54943.65,2,Champions
13094,21,13,2433.1200000000003,2,Champions
13095,70,1,74.39999999999999,0,Lost
13096,394,1,419.7000000000001,0,Lost
13097,32,28,13389.22,2,Champions
13098,1,28,28882.44,2,Champions
13099,99,1,207.36,0,Lost
13101,234,4,695.4,1,Lapsing
13102,1,37,11696.92,2,Champions
13103,39,3,709.64,3,At-Risk
13104,3,9,1709.1,2,Champions
13105,436,1,72.0,0,Lost
13106,133,2,603.46,0,Lost
13107,44,9,5253.07,2,Champions
13108,372,2,1098.52,1,Lapsing
13109,59,3,1134.03,3,At-Risk
13110,31,12,2957.4700000000003,2,Champions
13111,718,1,321.88000000000005,0,Lost
13112,541,1,20.6,0,Lost
13113,0,37,18625.73,2,Champions
13114,730,1,234.38,0,Lost
13115,11,10,5494.7,2,Champions
13116,138,1,501.14,0,Lost
13117,21,18,2643.81,2,Champions
13118,19,9,2415.41,2,Champions
13119,668,1,134.9,0,Lost
13120,238,1,30.6,0,Lost
13121,269,1,283.73,0,Lost
13122,94,2,922.39,1,Lapsing
13123,472,2,506.75,0,Lost
13124,89,4,4782.45,1,Lapsing
13125,523,1,158.57,0,Lost
13126,4,13,3998.25,2,Champions
13127,77,1,259.17,0,Lost
13128,631,1,263.5,0,Lost
13129,452,2,233.25,0,Lost
13130,94,1,64.0,0,Lost
13131,23,7,3313.77,2,Champions
13132,261,1,77.3,0,Lost
13133,273,3,200.45,0,Lost
13134,85,6,2475.23,1,Lapsing
13135,196,2,3371.45,1,Lapsing
13136,56,13,6274.56,2,Champions
13137,10,16,7712.7,2,Champions
13138,22,7,1467.24,3,At-Risk
13139,16,8,8202.98,2,Champions
13140,108,5,1215.68,1,Lapsing
13141,84,17,7668.58,2,Champions
13142,19,1,307.09000000000003,3,At-Risk
13143,584,1,405.1,0,Lost
13144,332,2,135.35,0,Lost
13145,39,7,1423.52,1,Lapsing
13146,26,1,228.91,3,At-Risk
13147,10,4,712.8,3,At-Risk
13148,29,26,8621.81,2,Champions
13149,14,4,1676.06,3,At-Risk
13150,484,3,449.97,0,Lost
13151,295,3,2580.74,1,Lapsing
13152,417,7,2146.38,1,Lapsing
13153,5,1,486.22,3,At-Risk
13154,399,3,1624.84,1,Lapsing
13155,33,6,1750.18,1,Lapsing
13156,385,3,1586.54,1,Lapsing
13157,49,9,5687.36,2,Champions
13158,94,5,1508.18,1,Lapsing
13159,8,4,1437.85,3,At-Risk
13160,22,1,91.8,3,At-Risk
13161,313,2,478.88,0,Lost
13162,122,16,9275.49,2,Champions
13163,610,1,17.65,0,Lost
13164,569,2,372.2,0,Lost
13165,46,3,1451.16,3,At-Risk
13166,283,2,884.18,0,Lost
13167,18,5,1125.15,3,At-Risk
13168,36,5,1875.31,1,Lapsing
13169,63,3,840.08,3,At-Risk
13170,26,1,116.01,3,At-Risk
13171,21,3,468.41,3,At-Risk
13172,400,1,69.6,0,Lost
13173,4,11,2639.35,2,Champions
13174,16,12,9494.84,2,Champions
13175,582,2,831.45,0,Lost
13176,46,1,492.84,3,At-Risk
13177,64,2,512.2,3,At-Risk
13178,26,21,14059.19,2,Champions
13179,618,1,572.3100000000001,0,Lost
13180,607,1,86.10000000000001,0,Lost
13181,381,1,359.69,0,Lost
13182,45,1,121.18,0,Lost
13183,7,15,7036.18,2,Champions
13184,14,10,1701.29,2,Champions
13185,267,1,71.4,0,Lost
13186,39,3,1575.89,3,At-Risk
13187,337,4,367.01,0,Lost
13188,11,1,114.6,3,At-Risk
13189,18,2,260.68,3,At-Risk
13190,544,3,570.66,0,Lost
13191,658,1,164.69,0,Lost
13192,95,6,2558.58,1,Lapsing
13193,61,1,117.88,0,Lost
13194,135,2,472.78,0,Lost
13195,414,1,172.38,0,Lost
13196,11,7,3068.84,2,Champions
13197,609,1,373.0100000000001,0,Lost
13198,10,8,4974.2300000000005,2,Champions
13199,3,67,16432.89,2,Champions
13200,19,4,870.09,3,At-Risk
13201,502,4,1240.61,1,Lapsing
13202,394,7,1580.3,1,Lapsing
13203,9,10,2648.25,2,Champions
13204,731,1,966.66,0,Lost
13205,443,1,2803.2,1,Lapsing
13206,400,13,8377.32,1,Lapsing
13207,15,4,535.86,3,At-Risk
13208,58,9,1988.5,1,Lapsing
13209,30,13,8509.51,2,Champions
13210,93,1,353.48,0,Lost
13211,10,10,2729.32,2,Champions
13212,19,3,788.08,3,At-Risk
13213,56,11,3851.52,2,Champions
13214,417,7,3264.23,1,Lapsing
13215,402,1,81.6,0,Lost
13216,267,1,333.74,0,Lost
13217,122,4,666.48,1,Lapsing
13218,127,1,62.64,0,Lost
13219,618,1,76.23,0,Lost
13220,78,5,1336.09,1,Lapsing
13221,240,2,847.41,0,Lost
13222,577,1,88.5,0,Lost
13223,200,6,969.12,1,Lapsing
13224,60,2,2155.95,1,Lapsing
13225,3,16,16260.07,2,Champions
13226,273,2,312.46,0,Lost
13227,201,1,257.7,0,Lost
13228,81,1,358.0,0,Lost
13229,225,1,160.95,0,Lost
13230,4,30,6360.78,2,Champions
13232,12,7,1357.6,3,At-Risk
13233,74,4,1176.46,1,Lapsing
13234,672,2,356.95,0,Lost
13235,212,1,1031.07,0,Lost
13236,24,2,744.85,3,At-Risk
13237,387,1,643.0,0,Lost
13238,17,6,1006.63,3,At-Risk
13239,261,5,1594.69,1,Lapsing
13240,96,8,1738.52,1,Lapsing
13241,411,1,115.58,0,Lost
13242,112,7,699.4,1,Lapsing
13243,203,5,1278.04,1,Lapsing
13244,92,1,121.74,0,Lost
13245,50,2,989.22,3,At-Risk
13246,18,11,3387.43,2,Champions
13247,17,4,501.12,3,At-Risk
13248,124,2,465.68,0,Lost
13249,92,9,1608.9299999999998,1,Lapsing
13250,460,2,256.04,0,Lost
13251,402,1,252.68,0,Lost
13252,394,2,399.3,0,Lost
13253,156,4,2951.11,1,Lapsing
13254,376,1,51.41,0,Lost
13255,9,3,904.46,3,At-Risk
13257,436,1,149.75,0,Lost
13258,11,5,1035.18,3,At-Risk
13259,61,9,1433.38,1,Lapsing
13260,61,1,557.62,3,At-Risk
13261,268,2,944.1,0,Lost
13262,263,3,573.45,0,Lost
13263,1,39,8704.69,2,Champions
13264,442,1,722.5600000000001,0,Lost
13265,53,5,2107.66,1,Lapsing
13266,11,19,6135.04,2,Champions
13267,2,36,9758.26,2,Champions
13268,17,11,3214.69,2,Champions
13269,1,28,8891.7,2,Champions
13270,366,1,1180.0,0,Lost
13271,37,1,217.38,3,At-Risk
13272,31,2,276.56,3,At-Risk
13273,113,1,138.98,0,Lost
13274,409,1,360.85,0,Lost
13275,383,2,241.66,0,Lost
13276,63,5,1939.26,1,Lapsing
13277,15,7,523.3,3,At-Risk
13278,40,4,1435.85,3,At-Risk
13279,78,1,137.75,0,Lost
13280,122,7,2322.63,1,Lapsing
13281,439,1,350.85,0,Lost
13282,18,4,1313.19,3,At-Risk
13283,59,4,373.36,3,At-Risk
13284,330,1,201.19,0,Lost
13285,23,6,3364.59,2,Champions
13286,600,1,734.91,0,Lost
13287,603,3,781.59,0,Lost
13288,443,5,927.61,1,Lapsing
13289,723,1,307.95,0,Lost
13290,438,1,208.63,0,Lost
13291,155,11,3320.84,1,Lapsing
13292,38,5,994.51,3,At-Risk
13293,392,6,1192.94,1,Lapsing
13294,189,3,1689.53,1,Lapsing
13295,359,4,1101.97,1,Lapsing
13296,137,6,792.51,1,Lapsing
13297,7,7,4368.62,2,Champions
13298,1,1,360.0,3,At-Risk
13299,268,3,1218.7,1,Lapsing
13300,169,3,1285.51,1,Lapsing
13301,103,4,618.09,1,Lapsing
13302,155,2,159.2,0,Lost
13303,400,1,61.72,0,Lost
13304,351,4,1217.99,1,Lapsing
13305,4,16,3754.71,2,Champions
13306,430,1,53.65,0,Lost
13307,120,3,273.34,0,Lost
13308,22,4,1670.37,3,At-Risk
13309,7,6,1706.37,3,At-Risk
13310,28,5,1541.2,3,At-Risk
13311,4,2,598.57,3,At-Risk
13312,451,1,124.75,0,Lost
13313,22,12,3445.32,2,Champions
13314,1,3,775.94,3,At-Risk
13315,689,1,310.26000000000005,0,Lost
13316,37,10,13191.57,2,Champions
13317,66,19,6486.091,2,Champions
13318,1,3,640.76,3,At-Risk
13319,5,58,22082.5,2,Champions
13320,78,6,2228.1,1,Lapsing
13321,72,2,567.36,3,At-Risk
13322,17,1,199.48,3,At-Risk
13323,3,5,787.85,3,At-Risk
13324,36,18,10513.47,2,Champions
13325,81,1,675.3,0,Lost
13326,432,1,281.76,0,Lost
13327,38,20,9879.48,2,Champions
13328,316,1,1308.48,0,Lost
13329,31,8,5112.97,2,Champions
13330,92,6,2806.18,1,Lapsing
13331,401,1,262.4,0,Lost
13332,14,1,350.90000000000003,3,At-Risk
13333,411,3,1015.74,1,Lapsing
13334,82,5,6263.75,1,Lapsing
13336,77,1,795.12,3,At-Risk
13337,546,1,1575.26,0,Lost
13338,157,4,2445.62,1,Lapsing
13339,200,1,860.12,0,Lost
13340,45,12,22100.56,2,Champions
13341,260,1,775.85,0,Lost
13343,177,1,353.43,0,Lost
13344,67,3,2543.7200000000003,1,Lapsing
13345,287,1,389.5,0,Lost
13346,462,6,299.4,0,Lost
13347,70,1,341.36,0,Lost
13348,64,1,233.76,0,Lost
13349,10,1,247.32,3,At-Risk
13350,16,2,979.12,3,At-Risk
13351,66,1,373.94,0,Lost
13352,60,1,397.98,3,At-Risk
13354,71,1,743.53,3,At-Risk
13355,122,1,674.7,0,Lost
13356,80,1,768.24,3,At-Risk
13357,257,5,3838.36,1,Lapsing
13358,268,1,439.03,0,Lost
13359,63,2,1043.31,3,At-Risk
13360,431,4,1553.65,1,Lapsing
13361,472,2,1450.5,1,Lapsing
13362,9,7,5394.07,2,Champions
13363,17,3,1723.86,3,At-Risk
13364,71,1,134.96,0,Lost
13365,33,2,2225.37,3,At-Risk
13366,50,1,56.16,0,Lost
13367,431,1,510.2,0,Lost
13368,256,4,1121.5,1,Lapsing
13369,365,1,616.5600000000001,0,Lost
13370,371,1,1509.74,0,Lost
13371,505,2,2297.66,1,Lapsing
13372,89,1,378.64,0,Lost
13373,60,6,7587.19,1,Lapsing
13374,414,2,422.8,0,Lost
13375,88,2,1792.23,1,Lapsing
13376,99,3,1019.76,1,Lapsing
13377,396,2,1552.88,1,Lapsing
13379,26,3,572.56,3,At-Risk
13380,432,1,62.4,0,Lost
13381,31,12,8224.37,2,Champions
13382,280,5,1387.58,1,Lapsing
13383,543,1,305.28000000000003,0,Lost
13384,30,11,6680.83,2,Champions
13385,329,1,534.57,0,Lost
13386,414,2,835.46,0,Lost
13387,417,1,189.44,0,Lost
13388,131,3,1185.65,1,Lapsing
13389,11,3,797.96,3,At-Risk
13390,74,1,544.08,0,Lost
13391,203,1,59.8,0,Lost
13392,677,1,91.14,0,Lost
13393,583,4,1131.45,1,Lapsing
13394,1,19,6621.7,2,Champions
13395,185,3,1180.23,1,Lapsing
13396,29,2,1360.99,3,At-Risk
13397,72,10,3191.87,1,Lapsing
13398,192,2,670.34,0,Lost
13399,464,3,275.4,0,Lost
13400,582,1,310.83,0,Lost
13402,127,4,1535.13,1,Lapsing
13403,17,3,229.5,3,At-Risk
13404,1,2,252.49,3,At-Risk
13405,74,6,1213.811,1,Lapsing
13406,427,2,568.92,0,Lost
13407,578,3,2244.7,1,Lapsing
13408,1,106,51733.462,2,Champions
13410,24,9,2201.96,2,Champions
13411,107,1,213.55,0,Lost
13412,620,1,487.35,0,Lost
13413,639,6,429.44,1,Lapsing
13414,133,6,2494.14,1,Lapsing
13415,472,4,800.67,1,Lapsing
13416,43,3,940.8,3,At-Risk
13417,4,6,1669.49,3,At-Risk
13418,11,31,12233.6,2,Champions
13419,63,1,221.06,0,Lost
13420,149,2,159.85,0,Lost
13421,40,8,4103.12,2,Champions
13422,64,1,2626.3,3,At-Risk
13423,428,1,217.03,0,Lost
13424,449,1,572.77,0,Lost
13425,108,5,3403.63,1,Lapsing
13426,0,22,8167.38,2,Champions
13427,19,6,1006.53,3,At-Risk
13428,10,3,499.98,3,At-Risk
13429,10,4,1006.8,3,At-Risk
13430,18,2,679.45,3,At-Risk
13431,67,8,3316.24,1,Lapsing
13432,571,2,439.1,0,Lost
13433,501,4,658.32,1,Lapsing
13434,74,5,1666.86,1,Lapsing
13435,5,9,4475.2300000000005,2,Champions
13436,1,1,196.89,3,At-Risk
13437,14,7,3408.06,2,Champions
13438,547,1,46.5,0,Lost
13439,255,3,986.61,1,Lapsing
13440,423,7,1295.25,1,Lapsing
13441,91,2,720.9,3,At-Risk
13442,667,3,419.87,0,Lost
13443,448,6,1280.16,1,Lapsing
13444,374,2,631.68,0,Lost
13445,626,1,241.9,0,Lost
13446,430,11,3881.89,1,Lapsing
13447,23,3,1129.14,3,At-Risk
13448,16,13,9240.87,2,Champions
13449,23,1,291.88,3,At-Risk
13450,26,13,4120.04,2,Champions
13451,26,11,7190.92,2,Champions
13452,259,3,729.8,1,Lapsing
13453,165,3,781.69,1,Lapsing
13454,641,1,219.87,0,Lost
13455,24,6,2905.93,2,Champions
13456,17,6,1766.72,3,At-Risk
13457,688,2,148.22,0,Lost
13458,7,16,11959.27,2,Champions
13459,624,2,1160.41,0,Lost
13460,29,2,183.44,3,At-Risk
13461,38,6,4160.0,1,Lapsing
13462,252,5,1153.85,1,Lapsing
13464,58,6,3097.64,1,Lapsing
13465,446,2,931.12,0,Lost
13466,184,5,1013.35,1,Lapsing
13467,10,2,1083.71,3,At-Risk
13468,1,72,13390.51,2,Champions
13469,653,1,82.4,0,Lost
13470,99,2,165.0,0,Lost
13471,1,4,2531.58,3,At-Risk
13472,463,2,592.24,0,Lost
13473,60,8,2657.76,1,Lapsing
13474,236,3,663.79,1,Lapsing
13475,191,4,1431.78,1,Lapsing
13476,178,5,2061.4700000000003,1,Lapsing
13477,37,11,2834.17,2,Champions
13478,469,5,2215.78,1,Lapsing
13479,200,4,851.37,1,Lapsing
13480,416,2,627.82,0,Lost
13481,45,11,3830.84,2,Champions
13482,232,2,336.09,0,Lost
13483,65,1,140.34,0,Lost
13484,241,3,790.72,1,Lapsing
13485,233,11,3019.2200000000003,1,Lapsing
13486,78,3,1122.41,1,Lapsing
13487,57,5,846.87,1,Lapsing
13488,17,23,15587.88,2,Champions
13489,105,4,449.52,1,Lapsing
13490,654,1,154.25,0,Lost
13491,51,27,4566.56,2,Champions
13494,311,1,316.26000000000005,0,Lost
13495,7,10,5374.26,2,Champions
13496,10,2,653.33,3,At-Risk
13497,282,6,1320.3300000000002,1,Lapsing
13498,730,1,327.38,0,Lost
13499,17,5,1159.11,3,At-Risk
13500,23,4,1466.3,3,At-Risk
13502,16,5,780.5,3,At-Risk
13503,71,6,1905.39,1,Lapsing
13504,64,1,295.93,0,Lost
13506,316,5,1639.2,1,Lapsing
13507,3,4,2479.16,3,At-Risk
13508,243,2,287.05,0,Lost
13509,8,8,1114.72,3,At-Risk
13510,1,11,4558.29,2,Champions
13511,676,1,282.76,0,Lost
13512,260,4,713.39,1,Lapsing
13513,126,3,824.59,1,Lapsing
13514,73,4,815.9000000000001,1,Lapsing
13515,72,6,1265.82,1,Lapsing
13516,21,4,1685.26,3,At-Risk
13517,59,3,2128.42,1,Lapsing
13518,85,1,659.44,0,Lost
13519,78,2,343.21,0,Lost
13521,1,3,1093.65,3,At-Risk
13522,30,1,125.8,3,At-Risk
13523,33,6,5101.52,2,Champions
13524,40,5,680.1800000000001,3,At-Risk
13525,14,2,628.78,3,At-Risk
13526,738,2,1182.0,0,Lost
13527,33,12,4683.74,2,Champions
13529,78,2,307.76,0,Lost
13530,634,1,402.98,0,Lost
13531,205,6,1738.52,1,Lapsing
13532,33,1,210.31,3,At-Risk
13533,182,3,270.79,0,Lost
13534,2,35,7720.900000000001,2,Champions
13535,402,1,89.5,0,Lost
13536,1,7,3448.29,2,Champions
13537,425,2,717.85,0,Lost
13538,43,12,3112.73,2,Champions
13539,85,7,1569.36,1,Lapsing
13540,467,3,632.39,0,Lost
13541,427,2,785.25,0,Lost
13542,376,17,4006.17,1,Lapsing
13543,634,2,1439.61,1,Lapsing
13544,39,6,829.0,3,At-Risk
13545,390,2,374.64,0,Lost
13546,12,5,1092.14,3,At-Risk
13547,408,1,175.53,0,Lost
13548,96,3,908.99,1,Lapsing
13549,25,8,1005.8,3,At-Risk
13550,383,1,349.51,0,Lost
13551,319,2,244.2,0,Lost
13552,66,22,6978.92,2,Champions
13553,674,1,517.8,0,Lost
13554,380,7,1638.28,1,Lapsing
13555,73,13,8999.19,2,Champions
13556,429,2,200.82,0,Lost
13557,28,13,3032.26,2,Champions
13558,5,4,605.06,3,At-Risk
13559,512,2,990.0,0,Lost
13560,7,1,174.37,3,At-Risk
13561,215,11,1820.72,1,Lapsing
13562,81,8,4838.18,1,Lapsing
13563,84,2,777.53,3,At-Risk
13564,144,37,17249.55,2,Champions
13565,19,3,414.8,3,At-Risk
13566,40,5,1708.12,1,Lapsing
13567,428,4,1083.69,1,Lapsing
13568,173,1,192.85,0,Lost
13569,17,4,893.78,3,At-Risk
13570,243,1,239.49,0,Lost
13571,12,26,4546.54,2,Champions
13572,205,1,1384.25,0,Lost
13573,50,6,916.47,1,Lapsing
13574,411,1,421.25,0,Lost
13575,23,5,732.07,3,At-Risk
13576,10,28,11551.74,2,Champions
13577,25,11,3489.28,2,Champions
13578,409,1,147.66,0,Lost
13579,14,5,1539.04,3,At-Risk
13580,406,1,107.75,0,Lost
13581,309,2,280.53000000000003,0,Lost
13582,389,2,241.68,0,Lost
13583,155,2,1445.031,1,Lapsing
13584,306,3,392.45,0,Lost
13585,530,3,684.54,0,Lost
